Tounament_Name,Location,Country,Winner
DreamHack Winter 2013, Jönköping,Sweden,Fnatic
ESL Major Series One Katowice 2014,Katowice,Poland,VP
ESL One: Cologne 2014,Cologne,Germany,NiP
DreamHack Winter 2014, Jönköping,Sweden,LDLC
ESL One: Katowice 2015,Katowice,Poland,Fnatic
ESL One: Cologne 2015,Cologne,Germany,Fnatic
DreamHack Open Cluj⁠-⁠Napoca 2015,Cluj-Napoca,Romania,Envy
MLG Major Championship: Columbus 2016,Columbus,United States,LG
ESL One: Cologne 2016,Cologne,Germany,SK
ELEAGUE Major Atlanta 2017,Atlanta,United States,Astralis
PGL Major Kraków 2017,Kraków,Poland,Gambit
ELEAGUE Major Boston 2018,Boston,United States,C9
FACEIT Major: London 2018,London,United Kingdom,Astralis
Intel Extreme Masters XIII - Katowice Major 2019,Katowice,Poland,Astralis
StarLadder Berlin Major 2019,Berlin,Germany,Astralis
PGL Major Stockholm 2021,Stockholm,Sweden,Na'Vi
PGL Major Antwerp 2022,Antwerp,Belgium,FaZe
Intel Extreme Masters Rio Major 2022,Rio de Janeiro,Brazil,Outsiders
BLAST.tv Paris Major 2023,Paris,France,Vitality
PGL Major Copenhagen 2024,Copenhagen,Denmark,Na'Vi
Perfect World Shanghai Major 2024,Shanghai,China,Spirit
BLAST.tv Austin Major 2025,Austin,United States,Vitality
